Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
1000,1000,0.8405,71.8264
1000,2900,0.8149,38.5765
1000,4800,0.7991,25.6861
1000,6700,0.7836,19.3294
1000,8600,0.7747,15.2969
1000,10500,0.7636,12.7923
1000,12400,0.7593,11.3990
1000,14300,0.7489,9.8870
3900,1000,0.8488,18.7015
1000,16200,0.7408,8.8343
1000,18100,0.7359,7.8812
3900,2900,0.8088,20.5043
1000,20000,0.7251,7.3725
3900,4800,0.7939,17.2616
3900,6700,0.7802,14.9918
3900,8600,0.7648,12.7394
3900,10500,0.7579,11.2677
3900,12400,0.7516,9.7448
3900,14300,0.7471,8.8654
3900,16200,0.7379,7.9069
6800,4800,0.7900,12.0139
6800,1000,0.8397,10.8285
6800,2900,0.8155,11.6953
6800,6700,0.7806,11.2741
6800,12400,0.7465,8.5658
6800,14300,0.7437,7.7881
6800,8600,0.7674,10.4685
6800,10500,0.7538,9.4594
6800,16200,0.7333,7.1810
3900,18100,0.7301,7.2760
9700,1000,0.8218,7.7041
9700,2900,0.8096,8.2859
6800,18100,0.7306,6.7155
9700,4800,0.7922,8.8088
3900,20000,0.7239,6.9196
9700,8600,0.7639,8.3946
9700,6700,0.7765,8.7475
6800,20000,0.7212,6.2927
9700,10500,0.7557,7.8767
9700,14300,0.7334,7.0705
9700,18100,0.7259,6.2024
9700,12400,0.7454,7.6960
12600,1000,0.8173,6.2345
9700,16200,0.7327,6.5662
12600,4800,0.7887,6.8190
9700,20000,0.7153,5.9088
12600,6700,0.7750,6.9833
12600,2900,0.8059,6.4255
12600,8600,0.7614,6.9950
12600,14300,0.7350,6.2274
12600,12400,0.7410,6.5230
12600,10500,0.7543,6.7988
12600,16200,0.7262,5.9525
12600,20000,0.7103,5.4818
12600,18100,0.7184,5.6398
15500,4800,0.7857,5.5105
15500,1000,0.7887,5.1566
15500,14300,0.7313,5.6554
15500,6700,0.7725,5.7821
15500,10500,0.7464,5.9294
15500,8600,0.7581,5.9609
15500,16200,0.7186,5.4185
15500,12400,0.7389,5.6928
18400,1000,0.7801,4.4945
15500,20000,0.7122,5.0078
18400,4800,0.7805,4.7540
15500,18100,0.7181,5.2121
18400,2900,0.7850,4.6105
15500,2900,0.7989,5.3589
18400,8600,0.7567,5.0548
18400,10500,0.7441,5.1576
18400,12400,0.7390,5.1622
18400,6700,0.7676,4.9612
18400,16200,0.7164,4.9142
18400,14300,0.7258,5.0720
18400,18100,0.7185,4.7464
18400,20000,0.7061,4.6439
21300,2900,0.7686,4.0890
21300,6700,0.7653,4.3321
21300,8600,0.7544,4.4867
21300,1000,0.7315,3.9130
21300,10500,0.7440,4.5717
21300,12400,0.7313,4.5575
21300,4800,0.7738,4.2182
21300,14300,0.7259,4.5479
21300,18100,0.7066,4.5022
24200,1000,0.8275,3.8875
21300,20000,0.7024,4.3054
21300,16200,0.7186,4.4450
24200,4800,0.7687,3.7985
24200,2900,0.7848,3.7973
24200,6700,0.7568,3.8765
24200,14300,0.7230,4.1199
24200,12400,0.7324,4.1176
24200,8600,0.7466,3.9790
24200,10500,0.7408,4.1085
24200,16200,0.7110,4.1459
24200,18100,0.7057,4.0610
24200,20000,0.7005,4.0087
27100,4800,0.7547,3.4786
27100,2900,0.7310,3.3534
27100,6700,0.7499,3.5461
27100,1000,0.7037,3.2876
27100,10500,0.7308,3.6638
27100,12400,0.7239,3.7584
27100,14300,0.7190,3.7685
27100,16200,0.7110,3.8210
27100,8600,0.7439,3.6110
27100,18100,0.7026,3.8034
27100,20000,0.6935,3.7600
30000,2900,0.7695,3.2721
30000,1000,0.7794,3.2710
30000,4800,0.7516,3.2453
30000,6700,0.7452,3.2802
30000,8600,0.7402,3.3295
30000,12400,0.7226,3.4496
30000,10500,0.7308,3.3772
30000,14300,0.7113,3.4708
30000,16200,0.7017,3.5012
30000,18100,0.6935,3.5120
30000,20000,0.6955,3.5062
